food_code,food_name,food_type,veg_flag,cuisine_region,meal_slots,search_alias,energy_kcal,protein_g,carb_g,fat_g,fibre_g,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,cholesterol_mg,servings_unit,serving_grams,unit_serving_energy_kcal
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),dish,veg,Pan-Indian,breakfast,Moongfali aur tamatar ka sandwich,291.43,9.53,28.54,16.14,4.03,94.03,1.58,56.19,364.99,252.82,17.53,triangle,60.7,177.04
ASC030,Rainbow sandwich,dish,veg,Continental,breakfast,,272.75,7.75,34.26,12.54,2.1,172.04,1.2,20.43,612.49,143.97,31.16,triangle,47.8,130.44
ASC031,Club sandwich ,dish,veg,Continental,breakfast,,235.32,7.31,18.51,15.12,1.81,115.68,0.86,18.6,461.66,169.0,31.26,triangle,87.9,206.79
ASC032,Vegetarian club sandwich,dish,veg,Continental,breakfast,Veg Club Sandwich,198.33,5.45,19.68,11.33,2.06,122.44,0.77,18.65,305.36,159.77,23.13,triangle,82.9,164.37
ASC033,Pin wheel sandwich,dish,veg,Continental,breakfast,,311.52,8.77,14.0,24.93,0.93,67.75,1.36,13.69,374.39,110.3,179.52,triangle,27.9,86.84
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),dish,veg,Continental,breakfast,Gajar aur seb ka sandwich,214.11,5.3,29.04,9.12,3.66,118.05,1.8,31.49,302.88,228.82,21.05,triangle,97.2,208.22
ASC035,Salami sandwich,dish,non-veg,Continental,breakfast,Chicken Salami Sandwich,255.59,8.7,21.54,15.51,1.97,73.54,1.11,20.81,662.75,194.06,33.35,triangle,74.3,189.78
ASC036,Vegetable and mayonnaise sandwich,dish,veg,Continental,breakfast,Coleslaw Sandwich,244.26,4.47,23.2,15.4,2.35,79.53,0.91,16.7,342.7,143.1,21.87,triangle,68.3,166.83
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),dish,egg,Continental,breakfast,Ande aur tamatar ka sandwich,222.11,7.66,25.9,10.51,1.77,95.71,1.3,18.11,423.26,150.47,95.63,triangle,59.5,132.15
ASC038,Sweet open sandwich,dish,veg,Continental,breakfast,,244.25,4.99,39.24,8.15,2.36,85.18,1.15,22.74,205.27,230.97,18.05,triangle,59.0,144.11
ASC039,Mushroom and cheese sandwich (toasted),dish,veg,Continental,"breakfast, high tea",,227.42,7.79,21.01,13.01,2.28,172.35,0.84,21.16,456.57,198.37,35.12,triangle,75.7,172.27
ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),dish,veg,Pan-Indian,"breakfast, high tea", Cheese aur tamatar ke sandwich (toasted,224.58,6.82,21.42,12.95,1.78,169.22,0.82,19.04,457.94,148.53,35.12,triangle,75.8,170.12
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),dish,veg,Pan-Indian,"breakfast, high tea", Matar aloo ka sandwich,164.9,4.6,25.17,5.43,2.89,64.15,1.11,26.66,262.63,342.73,0.0,toasted triangle,88.9,146.56
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),dish,veg,North Indian,"breakfast, high tea, lunch, dinner", Paneer matar ka sandwich,249.56,12.4,24.05,11.98,2.12,274.1,1.26,27.81,268.9,127.84,0.0,toasted triangle,88.9,221.79
ASC043,Chicken sandwich (toasted),dish,non-veg,Continental,"breakfast, high tea, lunch, dinner",Chicken Sandwich,167.37,12.08,18.82,5.32,1.64,99.99,0.99,20.67,327.55,203.56,26.57,toasted triangle,85.5,143.1
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),dish,non-veg,Pan-Indian,"breakfast, high tea",Matar aur keema ka sandwich,171.78,11.06,20.26,5.61,2.45,70.79,1.51,26.19,290.07,234.35,27.29,toasted triangle,84.6,145.39
ASC045,Classic club sandwich,dish,veg,Pan-Indian,breakfast,,200.83,6.74,18.49,11.56,1.62,107.73,1.09,20.02,277.49,167.57,62.87,triangle,223.5,448.86
ASC046,Sesame toast,dish,veg,Continental,high tea,,495.19,1.9,11.15,49.38,1.32,43.44,0.72,15.34,128.78,172.98,0.0,toasted triangle,62.4,309.18
ASC047,Cracked wheat porridge (Meetha daliya),dish,veg,Pan-Indian,"breakfast, lunch, dinner",Meetha daliya,81.57,2.64,8.87,4.08,0.62,75.88,0.32,5.18,15.89,71.44,0.0,bowl,250.0,203.93
ASC048,Semolina porridge (Suji/Rava daliya),dish,veg,Pan-Indian,"breakfast, lunch, dinner",Suji/Rava daliya,100.89,3.75,12.39,4.08,0.7,108.52,0.36,10.23,23.21,123.99,0.0,bowl,250.0,252.22
ASC050,Oatmeal Porridge,dish,veg,Continental,breakfast,,72.85,2.6,8.77,3.22,0.39,76.83,0.28,10.97,16.14,91.03,0.02,bowl,250.0,182.12
ASC051,Cornflakes with milk,dish,veg,Continental,breakfast,,117.33,3.59,14.95,5.12,0.78,106.47,0.42,14.98,26.55,132.88,0.0,bowl,250.0,293.32
ASC052,Rice flakes (Chiwda/Aval),dish,veg,Pan-Indian,"high tea, lunch, dinner",Chiwda/Aval,112.44,3.62,15.57,3.99,0.37,103.15,0.62,15.61,22.4,115.4,0.0,bowl,250.0,281.1
ASC053,Wheat flakes,dish,veg,Pan-Indian,"lunch, dinner",,112.44,3.62,15.57,3.99,0.37,103.15,0.62,15.61,22.4,115.4,0.0,bowl,250.0,281.1
ASC054,Murmura (Puffed rice),dish,veg,Pan-Indian,"high tea, lunch, dinner",Puffed rice,113.32,3.62,15.67,4.04,0.28,103.79,0.63,14.18,22.52,114.53,0.0,bowl,250.0,283.3
ASC055,Puffed wheat (Murmure/Moori),dish,veg,Pan-Indian,high tea,Murmure/Moori,113.32,3.62,15.67,4.04,0.28,103.79,0.63,14.18,22.52,114.53,0.0,bowl,250.0,283.3
ASC056,Boiled egg (Ubla anda),dish,egg,Pan-Indian,breakfast,Ubla anda,45.35,4.43,0.12,3.04,0.11,17.75,0.64,4.88,170.94,50.91,121.19,egg,151.0,68.49
ASC057,Fried Egg ,dish,egg,Pan-Indian,breakfast,,223.67,11.59,0.31,19.62,0.29,46.4,1.69,12.75,446.96,133.13,316.88,egg,57.8,129.17
ASC058,Poached egg,dish,egg,Pan-Indian,breakfast,,123.87,11.98,0.37,8.19,0.3,48.24,1.75,14.79,1163.07,141.3,326.79,egg,56.0,69.37
ASC059,Scrambled egg (Ande ki bhurji),dish,egg,Pan-Indian,breakfast,Ande ki bhurji,155.97,10.29,1.35,12.21,0.24,64.59,1.42,12.41,374.66,136.01,273.6,egg,70.0,109.18
ASC060,Baked egg ,dish,egg,Pan-Indian,"lunch, dinner",,218.85,11.88,15.42,12.65,1.03,164.05,1.48,17.94,523.29,143.69,204.36,egg,101.0,221.04
ASC061,Plain omelette/omlet,dish,egg,Pan-Indian,breakfast,omlet,272.41,9.66,0.64,25.74,0.12,48.4,1.35,10.22,226.18,114.08,255.94,omelette,143.0,389.55
ASC062,Stuffed egg omelette/omlet,dish,egg,Pan-Indian,breakfast,omlet,203.51,8.6,2.3,17.77,0.75,89.91,0.91,14.15,267.19,161.72,154.38,omelette,262.0,533.21
ASC063,Pancake,dish,veg,Pan-Indian,high tea,,203.36,5.68,20.49,10.82,0.65,79.49,0.69,13.56,143.7,116.83,35.93,pancake,42.3,85.97
ASC064,Keema pancake,dish,non-veg,Pan-Indian,high tea,,176.27,9.01,9.56,11.25,0.84,40.96,0.93,16.95,125.4,198.42,46.43,pancake,110.4,194.58
ASC065,Vegetable pancake,dish,veg,Pan-Indian,high tea,,125.18,3.87,12.24,6.57,2.48,42.89,0.79,19.91,116.69,230.72,19.32,pancake,117.1,146.64
ASC066,Jam and fruit pancake,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,162.02,3.79,20.73,7.01,1.21,54.06,0.52,11.9,93.09,110.42,23.09,pancake,65.8,106.57
ASC067,Khoa and coconut pancake,dish,veg,South Indian,high tea,,271.98,6.98,27.32,15.29,1.65,157.22,1.12,22.61,101.0,205.43,21.35,pancake,71.1,193.51
ASC068,Brown stock,dish,veg,Continental,"lunch, dinner",,21.32,1.95,0.25,1.38,0.09,17.16,0.3,0.72,44.6,36.68,0.0,cup,200.0,42.64
ASC069,Vegetable stock,dish,veg,Continental,"lunch, dinner",,17.6,0.3,0.96,1.38,0.38,5.08,0.12,2.64,49.75,30.05,3.46,cup,200.0,35.2
ASC070,Chicken stock,dish,non-veg,Continental,"lunch, dinner",,29.88,3.69,0.37,1.51,0.1,3.57,0.18,4.25,58.58,56.12,10.23,cup,200.0,59.76
ASC071,White sauce (thin),condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",thin,115.17,3.31,6.58,8.41,0.07,110.2,0.19,8.56,23.91,111.33,11.04,1 tbsp,15.0,17.28
ASC072,White sauce (medium),condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",medium,151.27,3.36,7.98,11.76,0.14,103.53,0.22,8.79,22.59,108.19,20.47,1 tbsp,15.0,22.69
ASC073,White sauce (thick),condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",thick,209.69,3.43,10.24,17.19,0.24,92.74,0.27,9.18,20.45,103.11,35.72,1 tbsp,15.0,31.45
ASC074,Cheese sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,194.76,7.68,7.08,15.12,0.12,255.14,0.31,14.33,317.38,130.21,39.75,1 tbsp,15.0,29.21
ASC075,Egg sauce,condiment,egg,Pan-Indian,"breakfast, lunch, high tea, dinner",,146.85,5.97,5.88,11.08,0.12,89.49,0.65,9.73,51.54,117.22,111.08,1 tbsp,15.0,22.03
ASC076,Mushroom sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,137.56,3.39,7.31,10.51,0.47,94.1,0.22,9.85,20.94,131.43,18.2,1 tbsp,15.0,20.63
ASC077,Mustard sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,158.58,3.98,8.29,12.17,0.13,109.03,0.44,14.9,22.16,128.41,19.97,1 tbsp,15.0,23.79
ASC078,Brown sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,109.18,11.92,5.38,23.67,1.69,40.44,2.46,39.16,14174.59,334.09,0.0,1 tbsp,15.0,16.38
ASC079,Clear tomato soup (Tamatar ka soup),dish,veg,Pan-Indian,"lunch, dinner",Tamatar ka soup,80.07,4.79,3.45,12.22,1.96,29.05,1.14,22.39,5135.74,232.95,0.0,soup bowl,300.0,240.21
ASC080,Lentil soup,dish,veg,Pan-Indian,"lunch, dinner",,31.17,9.65,3.94,11.68,2.57,40.57,2.26,36.61,10418.84,350.26,2.19,soup bowl,300.0,93.51
ASC081,Chicken consomme (Clear chicken soup),dish,non-veg,Pan-Indian,"lunch, dinner",Clear chicken soup,47.94,11.47,1.19,12.02,1.57,35.48,1.82,32.35,8953.64,305.39,17.0,soup bowl,225.9,108.31
ASC082,Cream of tomato soup,dish,veg,Pan-Indian,"lunch, dinner",,97.81,4.61,3.93,13.12,1.38,39.61,0.95,19.75,4461.22,205.66,5.47,soup bowl,300.0,293.43
ASC083,Cream of green peas soup,dish,veg,Pan-Indian,"lunch, dinner",,127.84,7.13,6.75,14.78,2.95,51.01,1.48,29.97,4999.7,242.6,6.19,soup bowl,300.0,383.52
ASC084,Cream of spinach soup,dish,veg,Pan-Indian,"lunch, dinner",,100.54,5.21,3.45,13.31,1.74,70.77,2.1,52.29,4429.81,404.13,5.47,soup bowl,300.0,301.62
ASC085,Cream of mixed vegetable soup,dish,veg,Pan-Indian,"lunch, dinner",,59.65,6.84,4.93,9.05,2.14,65.26,1.36,27.05,5655.45,255.87,7.05,soup bowl,300.0,178.95
ASC086,Cream of mushroom soup,dish,veg,Pan-Indian,"lunch, dinner",,117.28,6.64,3.74,15.5,1.34,70.56,1.81,24.31,5276.06,249.79,6.74,soup bowl,300.0,351.84
ASC087,Chicken sweet corn soup,dish,non-veg,Pan-Indian,"lunch, dinner",,28.32,14.48,1.63,12.59,0.47,91.5,3.83,41.64,12205.33,362.15,6.37,soup bowl,241.7,68.46
ASC088,Minestrone soup,dish,veg,Pan-Indian,"lunch, dinner",,42.66,9.3,3.71,11.09,1.92,53.55,1.82,31.06,8875.06,299.64,3.7,soup bowl,230.1,98.17
ASC089,Egg drop soup,dish,egg,Pan-Indian,"lunch, dinner",,26.64,12.93,1.1,13.52,0.81,100.14,3.93,39.39,12418.84,346.42,31.67,soup bowl,300.0,79.92
ASC090,Chinese cabbage and meat ball soup,dish,non-veg,Pan-Indian,"lunch, dinner",,484.31,5.21,1.43,56.57,0.57,41.07,1.52,15.07,4249.41,147.1,5.83,soup bowl,300.0,1452.93
ASC091,French onion soup,dish,veg,Pan-Indian,"lunch, dinner",,55.61,11.41,4.28,14.39,1.01,106.22,3.52,37.54,11202.89,320.67,10.59,soup bowl,300.0,166.83
ASC092,Hot and sour soup,dish,veg,Pan-Indian,"lunch, dinner",,31.51,3.12,1.78,1.31,0.6,10.68,0.43,7.53,163.26,93.43,17.91,soup bowl,300.0,94.53
ASC093,Talaumein soup,dish,veg,Pan-Indian,"lunch, dinner",,35.63,10.12,4.17,12.78,1.94,42.33,2.23,37.81,11088.14,340.97,12.4,soup bowl,300.0,106.89
ASC094,Cold cucumber soup (Thanda kheere ka soup),dish,veg,Pan-Indian,"high tea, lunch, dinner",Thanda kheere ka soup,48.03,2.99,4.58,1.99,0.88,99.79,0.32,15.83,121.32,171.02,7.06,soup bowl,187.7,90.13
ASC095,Cold summer garden soup,dish,veg,Pan-Indian,"lunch, dinner",,49.19,8.57,2.65,14.08,1.86,43.93,2.13,38.89,9919.63,361.43,10.12,soup bowl,300.0,147.57
ASC096,Chapati/Roti,dish,veg,Pan-Indian,"lunch, dinner",Roti,202.31,5.88,35.65,3.56,6.31,17.22,2.28,69.44,1.16,172.78,6.83,chapati,36.0,72.83
ASC097,Plain parantha/paratha,dish,veg,North Indian,breakfast,paratha,298.3,5.06,30.69,16.86,5.43,14.81,1.98,59.91,62.07,148.89,0.0,parantha,55.8,166.31
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),dish,veg,North Indian,breakfast,Aloo ka parantha/paratha; paratha,205.04,3.7,23.92,10.22,4.18,17.38,1.52,46.11,127.2,272.88,0.0,parantha,93.4,191.43
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),dish,veg,North Indian,breakfast,Mooli ka parantha/paratha; paratha,183.52,3.3,20.54,9.53,4.32,23.75,1.39,41.98,127.03,206.44,0.0,parantha,100.0,183.58
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),dish,veg,North Indian,breakfast,Phoolgobhi ka parantha/paratha; paratha,178.07,3.73,18.84,9.47,4.68,22.0,1.59,44.53,190.03,222.94,0.0,parantha,101.9,181.39
ASC101,Dal parantha/paratha,dish,veg,North Indian,"breakfast, lunch, dinner",paratha,268.24,6.78,30.03,13.05,6.46,23.89,2.45,63.15,156.13,268.85,0.0,parantha,76.7,205.73
ASC102,Sprouted moong parantha/paratha,dish,veg,North Indian,breakfast,paratha,228.59,4.29,24.31,12.43,4.49,20.33,1.94,49.59,153.94,150.07,0.0,parantha,76.7,175.32
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),dish,veg,North Indian,breakfast,Matar ka parantha/paratha; paratha,190.73,5.59,21.51,8.8,5.61,23.49,1.78,49.23,109.99,197.71,0.0,parantha,108.4,206.68
ASC104,Keema parantha/paratha,dish,non-veg,North Indian,breakfast,paratha,238.09,9.41,18.36,13.91,3.44,19.35,1.8,43.62,140.62,213.77,25.66,parantha,100.0,238.16
ASC105,Paneer parantha/paratha,dish,veg,North Indian,"breakfast, lunch, dinner",paratha,262.97,7.98,24.33,14.62,4.0,127.65,1.7,48.99,142.52,141.55,0.0,parantha,85.0,223.6
ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),dish,veg,North Indian,breakfast,Besan aur palak ka parantha/paratha; paratha,216.49,5.54,21.39,12.09,4.39,33.07,1.85,53.3,177.19,251.93,0.0,parantha,82.3,178.12
ASC107,Poori,dish,veg,Pan-Indian,"lunch, dinner",,737.63,1.35,8.22,77.61,1.46,3.98,0.6,16.07,31.73,39.91,1.58,poori,124.9,921.31
ASC108,Spinach poori (Palak poori),dish,veg,Pan-Indian,"lunch, dinner",Palak poori,684.25,1.42,7.76,71.86,1.55,10.02,0.79,21.42,35.47,84.67,1.46,poori,135.0,923.74
ASC109,Methi poori,dish,veg,Pan-Indian,"lunch, dinner",,710.02,1.45,7.98,74.6,1.61,14.61,0.81,18.01,35.37,48.54,1.51,poori,130.0,923.03
ASC110,Dal stuffed poori,dish,veg,Pan-Indian,"lunch, dinner",,785.16,2.08,10.14,81.69,1.96,6.88,0.83,22.74,128.18,81.94,1.66,poori,118.8,932.65
ASC111,Potato stuffed poori (Aloo ki poori),dish,veg,Pan-Indian,"lunch, dinner",Aloo ki poori,776.74,1.52,9.4,81.35,1.64,5.57,0.7,18.52,69.86,71.98,1.65,poori,119.2,925.87
ASC112,Tandoori parantha/paratha,dish,veg,North Indian,breakfast,paratha,295.37,5.08,30.74,16.51,5.44,14.98,1.96,59.88,1.14,148.98,39.77,parantha,55.7,164.42
ASC113,Boiled rice (Uble chawal),dish,veg,Pan-Indian,"lunch, dinner",Uble chawal,117.19,2.6,25.72,0.18,1.25,2.7,0.24,8.91,1.05,47.33,0.0,plate,300.0,351.57
ASC114,Plain pulao,dish,veg,Pan-Indian,"lunch, dinner",,140.21,2.34,21.82,4.62,1.69,12.76,0.41,12.3,193.76,74.74,0.0,plate,300.0,420.63
ASC115,Mixed vegetable pulao,dish,veg,Pan-Indian,"lunch, dinner",,113.05,2.72,17.49,3.33,2.67,19.61,0.6,17.6,187.92,133.82,0.0,plate,300.0,339.15
ASC116,Mushroom pulao,dish,veg,Pan-Indian,"lunch, dinner",,124.29,2.52,19.02,4.03,1.88,13.54,0.39,13.23,222.36,108.7,0.0,plate,300.0,372.87
ASC117,Sprouted moong pulao,dish,veg,Pan-Indian,"lunch, dinner",,112.97,2.19,17.49,3.61,1.78,16.26,0.65,13.05,153.16,95.52,0.0,plate,300.0,338.91
ASC118,Paneer pulao,dish,veg,North Indian,"lunch, dinner",,581.91,1.98,8.76,59.81,0.62,33.09,0.26,6.11,72.28,31.25,0.0,plate,300.0,1745.73
ASC119,Peanut pulao ,dish,veg,Pan-Indian,"lunch, dinner",,193.28,5.32,21.18,9.51,2.9,18.52,0.83,38.11,168.4,159.16,0.0,plate,300.0,579.84
ASC120,Navratan pulao,dish,veg,Pan-Indian,"lunch, dinner",,261.71,6.2,36.98,9.45,3.82,59.61,1.1,32.27,334.26,185.63,0.0,plate,183.1,479.19
ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),dish,veg,Pan-Indian,"lunch, dinner",Choliya pulao/Hare chane ka pulao,173.43,4.88,27.57,4.82,3.15,18.94,0.95,21.62,170.05,164.6,0.0,plate,300.0,520.29
ASC122,Mutton biryani/biriyani,dish,non-veg,Pan-Indian,"lunch, dinner",biriyani,190.76,7.38,22.5,7.72,2.42,68.58,1.29,19.12,262.64,212.05,0.4,plate,207.8,396.43
ASC123,Vegetable biryani/biriyani,dish,veg,Pan-Indian,"lunch, dinner",biriyani,174.61,3.16,18.56,9.51,3.31,33.52,0.86,24.37,183.79,242.5,0.27,plate,300.0,523.83
ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",dish,veg,South Indian,"lunch, dinner","Pulihora, Elumichai sadam, Chitranna",176.3,4.26,21.62,7.88,2.52,12.7,0.77,29.94,187.11,152.57,0.0,plate,300.0,528.9
ASC125,Sweet rice (Meethe chawal),dish,veg,Pan-Indian,"lunch, dinner",Meethe chawal,215.41,2.1,42.59,4.57,1.13,11.38,0.34,11.13,3.2,56.08,9.55,plate,300.0,646.23
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),dish,veg,South Indian,"lunch, dinner",Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam,195.74,5.75,32.93,4.32,2.13,101.52,0.59,24.28,213.29,211.78,3.12,plate,216.2,423.11
ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),dish,veg,South Indian,"lunch, dinner",Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna,373.04,7.45,65.08,8.53,5.12,50.94,2.89,58.32,162.41,369.08,7.7,plate,127.8,476.86
ASC128,Spanish rice,dish,veg,Continental,"lunch, dinner",,164.24,4.19,31.1,2.23,2.78,18.93,0.92,21.13,96.61,190.33,0.0,plate,217.5,357.22
ASC129,Chinese fried rice,dish,veg,Indo-Chinese,"lunch, dinner",,120.58,4.05,13.4,5.43,2.31,34.7,0.99,18.99,248.36,210.87,52.09,plate,300.0,361.74
ASC130,Classic italian pasta,dish,veg,Continental,"lunch, dinner",,42.12,0.57,4.4,2.45,1.36,19.55,0.41,9.21,49.04,105.02,1.7,1 katori,150.0,63.18
ASC131,Pasta spinach sauce,condiment,veg,Continental,"breakfast, lunch, high tea, dinner",,85.46,1.76,1.76,7.9,0.86,58.57,1.23,32.15,115.79,251.05,9.34,1 tbsp,15.0,12.82
ASC132,Pasta cheese sauce,condiment,veg,Continental,"breakfast, lunch, high tea, dinner",,149.26,4.33,9.0,10.84,0.14,152.68,0.25,10.4,255.95,114.39,22.22,1 tbsp,15.0,22.39
ASC133,Macroni cheese pie,dish,veg,Continental,"lunch, dinner",,170.63,5.85,21.1,7.48,0.4,122.01,0.54,19.78,200.51,156.11,15.99,casserole dish,239.5,408.65
